,names,dob,positon,month,year
20,Sebastián Hohl ,"<td class=""zentriert"">20/06/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,06,00
21,Osvaldo Iorio Forestero ,"<td class=""zentriert"">02/08/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,08,00
22,Walter Corrales ,"<td class=""zentriert"">02/03/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,03,00
23,Mauro García ,"<td class=""zentriert"">27/02/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,02,00
24,Lucas Ribeiro ,"<td class=""zentriert"">10/07/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,07,00
0,Iván García ,"<td class=""zentriert"">15/01/2000 (22)</td>",<tr><td>Extremo derecho</td></tr>,01,00
1,Emanuel Fuentes ,"<td class=""zentriert"">02/06/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,06,00
2,Alejandro García ,"<td class=""zentriert"">02/11/2000 (21)</td>",<tr><td>Pivote</td></tr>,11,00
3,Nicolás Da Fonte ,"<td class=""zentriert"">21/07/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,07,00
4,Thomas Ferreira ,"<td class=""zentriert"">23/09/2000 (22)</td>",<tr><td>Defensa central</td></tr>,09,00
5,Gianlucas García ,"<td class=""zentriert"">15/05/2000 (22)</td>",<tr><td>Defensa central</td></tr>,05,00
6,Diego Segovia ,"<td class=""zentriert"">15/05/2000 (22)</td>",<tr><td>Portero</td></tr>,05,00
7,Nicolás Lugano ,"<td class=""zentriert"">07/07/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,07,00
8,Facundo Pérez ,"<td class=""zentriert"">23/03/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,03,00
9,Cristian Ferradans ,"<td class=""zentriert"">20/01/2000 (22)</td>",<tr><td>Pivote</td></tr>,01,00
10,Luciano Demarco ,"<td class=""zentriert"">12/12/2000 (21)</td>",<tr><td>Portero</td></tr>,12,00
11,Facundo Nóbrega ,"<td class=""zentriert"">24/05/2000 (22)</td>",<tr><td>Delantero</td></tr>,05,00
12,Matías Losada ,"<td class=""zentriert"">27/11/2000 (21)</td>",<tr><td>Portero</td></tr>,11,00
13,Nicolás Césaro ,"<td class=""zentriert"">11/03/2000 (22)</td>",<tr><td>Portero</td></tr>,03,00
14,Bruno Serrón ,"<td class=""zentriert"">26/09/2000 (22)</td>",<tr><td>Defensa central</td></tr>,09,00
15,Nicolás Mallet Konovaluk ,"<td class=""zentriert"">21/09/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,09,00
16,Matías Cedrés ,"<td class=""zentriert"">01/01/2000 (22)</td>",<tr><td>Mediocentro</td></tr>,01,00
17,Joaquín De León ,"<td class=""zentriert"">05/07/2000 (22)</td>",<tr><td>Defensa</td></tr>,07,00
18,Cristian Alvez ,"<td class=""zentriert"">18/03/2000 (22)</td>",<tr><td>Medio campo</td></tr>,03,00
19,Lautaro Aguete ,"<td class=""zentriert"">23/02/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,02,00
20,Anthony Stella ,"<td class=""zentriert"">07/04/2000 (22)</td>",<tr><td>Mediapunta</td></tr>,04,00
21,Santiago Falcón ,"<td class=""zentriert"">28/09/2000 (22)</td>",<tr><td>Lateral izquierdo</td></tr>,09,00
22,Gonzalo Viotti ,"<td class=""zentriert"">10/06/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,06,00
23,Luciano Rodríguez ,"<td class=""zentriert"">19/12/2000 (21)</td>",<tr><td>Medio campo</td></tr>,12,00
24,Pablo Fernández ,"<td class=""zentriert"">27/11/2000 (21)</td>",<tr><td>Delantero</td></tr>,11,00
0,Brian Prado ,"<td class=""zentriert"">01/01/2000 (22)</td>",<tr><td>Medio campo</td></tr>,01,00
1,Franco Ciribello ,"<td class=""zentriert"">02/01/2000 (22)</td>",<tr><td>Delantero centro</td></tr>,01,00
2,Rodolfo Rodríguez ,"<td class=""zentriert"">16/11/2000 (21)</td>",<tr><td>Portero</td></tr>,11,00
3,Fabricio Sanguinetti ,"<td class=""zentriert"">23/08/2000 (22)</td>",<tr><td>Delantero</td></tr>,08,00
4,Santiago Acosta ,"<td class=""zentriert"">07/07/2000 (22)</td>",<tr><td>Defensa central</td></tr>,07,00
5,Felipe Cairus ,"<td class=""zentriert"">28/04/2000 (22)</td>",<tr><td>Mediocentro ofensivo</td></tr>,04,00
6,Owen Rodríguez ,"<td class=""zentriert"">23/10/2000 (22)</td>",<tr><td>Medio campo</td></tr>,10,00
7,Diego Bustos ,"<td class=""zentriert"">21/12/2000 (21)</td>",<tr><td>Mediocentro ofensivo</td></tr>,12,00
8,Brian Correa ,"<td class=""zentriert"">17/01/2000 (22)</td>",<tr><td>Portero</td></tr>,01,00
9,Álvaro Fernández ,"<td class=""zentriert"">22/03/2000 (22)</td>",<tr><td>Delantero</td></tr>,03,00
10,Agustín Trinidad ,"<td class=""zentriert"">04/08/2000 (22)</td>",<tr><td>Portero</td></tr>,08,00
11,Juan Godino ,"<td class=""zentriert"">23/11/2000 (21)</td>",<tr><td>Medio campo</td></tr>,11,00
12,Facundo Segovia ,"<td class=""zentriert"">29/10/2000 (21)</td>",<tr><td>Medio campo</td></tr>,10,00
13,Emilio Jara ,"<td class=""zentriert"">29/09/2000 (22)</td>",<tr><td>Defensa</td></tr>,09,00
14,Federico Tellechea ,"<td class=""zentriert"">13/09/2000 (22)</td>",<tr><td>Medio campo</td></tr>,09,00
15,Esteban Martínez ,"<td class=""zentriert"">05/06/2000 (22)</td>",<tr><td>Portero</td></tr>,06,00
16,Eduardo Bastita ,"<td class=""zentriert"">06/04/2000 (22)</td>",<tr><td>Lateral derecho</td></tr>,04,00
17,Mateo Sena ,"<td class=""zentriert"">30/03/2000 (22)</td>",<tr><td>Interior derecho</td></tr>,03,00
18,Gastón Medina ,"<td class=""zentriert"">13/09/2000 (22)</td>",<tr><td>Pivote</td></tr>,09,00
19,Christian Luna ,"<td class=""zentriert"">26/01/2000 (22)</td>",<tr><td>Defensa central</td></tr>,01,00
20,Nahuel Gómez ,"<td class=""zentriert"">14/02/2000 (22)</td>",<tr><td>Medio campo</td></tr>,02,00
21,Santiago Fernández ,"<td class=""zentriert"">04/03/2000 (22)</td>",<tr><td>Defensa</td></tr>,03,00
22,Lucas Espinosa ,"<td class=""zentriert"">18/01/2000 (22)</td>",<tr><td>Extremo derecho</td></tr>,01,00
0,Manuel Ugarte ,"<td class=""zentriert"">11/04/2001 (21)</td>",<tr><td>Pivote</td></tr>,04,01
1,Agustín Álvarez ,"<td class=""zentriert"">19/05/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,05,01
2,Martín Satriano ,"<td class=""zentriert"">20/02/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,02,01
3,Nicolás Marichal ,"<td class=""zentriert"">17/03/2001 (21)</td>",<tr><td>Defensa central</td></tr>,03,01
4,Facundo Pellistri ,"<td class=""zentriert"">20/12/2001 (20)</td>",<tr><td>Extremo derecho</td></tr>,12,01
5,César Araújo ,"<td class=""zentriert"">02/04/2001 (21)</td>",<tr><td>Pivote</td></tr>,04,01
6,Gonzalo Pérez ,"<td class=""zentriert"">04/01/2001 (21)</td>",<tr><td>Defensa central</td></tr>,01,01
7,Renzo Orihuela ,"<td class=""zentriert"">04/04/2001 (21)</td>",<tr><td>Defensa central</td></tr>,04,01
8,Valentín Rodríguez ,"<td class=""zentriert"">13/06/2001 (21)</td>",<tr><td>Lateral izquierdo</td></tr>,06,01
9,Kevin Rolón ,"<td class=""zentriert"">02/03/2001 (21)</td>",<tr><td>Lateral izquierdo</td></tr>,03,01
10,Matias Rocha ,"<td class=""zentriert"">13/02/2001 (21)</td>",<tr><td>Defensa central</td></tr>,02,01
11,Manuel Monzeglio ,"<td class=""zentriert"">25/09/2001 (21)</td>",<tr><td>Mediocentro ofensivo</td></tr>,09,01
12,Franco Pérez ,"<td class=""zentriert"">01/08/2001 (21)</td>",<tr><td>Extremo izquierdo</td></tr>,08,01
13,Lucas de los Santos ,"<td class=""zentriert"">26/07/2001 (21)</td>",<tr><td>Pivote</td></tr>,07,01
14,Lucas Núñez ,"<td class=""zentriert"">09/06/2001 (21)</td>",<tr><td>Pivote</td></tr>,06,01
15,Martín Fernández ,"<td class=""zentriert"">08/05/2001 (21)</td>",<tr><td>Mediocentro</td></tr>,05,01
16,Marco Mancebo ,"<td class=""zentriert"">02/05/2001 (21)</td>",<tr><td>Defensa central</td></tr>,05,01
17,Agustín Álvarez ,"<td class=""zentriert"">20/04/2001 (21)</td>",<tr><td>Mediocentro</td></tr>,04,01
18,Santiago Ramírez ,"<td class=""zentriert"">03/09/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,09,01
19,Enzo Larrosa ,"<td class=""zentriert"">21/04/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,04,01
20,Joaquín Valiente ,"<td class=""zentriert"">13/04/2001 (21)</td>",<tr><td>Mediocentro</td></tr>,04,01
21,Agustín Acosta ,"<td class=""zentriert"">17/02/2001 (21)</td>",<tr><td>Lateral izquierdo</td></tr>,02,01
22,Maximiliano Añasco ,"<td class=""zentriert"">04/05/2001 (21)</td>",<tr><td>Interior izquierdo</td></tr>,05,01
23,Agustín Pereira ,"<td class=""zentriert"">24/03/2001 (21)</td>",<tr><td>Lateral derecho</td></tr>,03,01
24,Franco Mederos ,"<td class=""zentriert"">27/08/2001 (21)</td>",<tr><td>Mediocentro ofensivo</td></tr>,08,01
0,Mateo Barcia ,"<td class=""zentriert"">19/02/2001 (21)</td>",<tr><td>Mediocentro ofensivo</td></tr>,02,01
1,Luciano Olaizola ,"<td class=""zentriert"">22/08/2001 (21)</td>",<tr><td>Extremo izquierdo</td></tr>,08,01
2,Fabrizio Correa ,"<td class=""zentriert"">18/01/2001 (21)</td>",<tr><td>Portero</td></tr>,01,01
3,Rodrigo Muniz ,"<td class=""zentriert"">01/09/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,09,01
4,Matías Bentos-Pereira ,"<td class=""zentriert"">12/05/2001 (21)</td>",<tr><td>Defensa central</td></tr>,05,01
5,Agustín Amado ,"<td class=""zentriert"">06/02/2001 (21)</td>",<tr><td>Mediocentro</td></tr>,02,01
6,Maicol Borba ,"<td class=""zentriert"">09/05/2001 (21)</td>",<tr><td>Defensa central</td></tr>,05,01
7,Luciano Puentes ,"<td class=""zentriert"">26/09/2001 (21)</td>",<tr><td>Lateral izquierdo</td></tr>,09,01
8,Emiliano Álvarez ,"<td class=""zentriert"">06/02/2001 (21)</td>",<tr><td>Lateral derecho</td></tr>,02,01
9,Damián Silva ,"<td class=""zentriert"">22/03/2001 (21)</td>",<tr><td>Pivote</td></tr>,03,01
10,Esteban Da Silva ,"<td class=""zentriert"">10/03/2001 (21)</td>",<tr><td>Interior derecho</td></tr>,03,01
11,Facundo Silvera ,"<td class=""zentriert"">18/11/2001 (20)</td>",<tr><td>Extremo izquierdo</td></tr>,11,01
12,Guillermo Centurión ,"<td class=""zentriert"">23/07/2001 (21)</td>",<tr><td>Portero</td></tr>,07,01
13,Emiliano Gómez ,"<td class=""zentriert"">18/09/2001 (21)</td>",<tr><td>Mediapunta</td></tr>,09,01
14,Facundo Milán ,"<td class=""zentriert"">03/02/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,02,01
15,Luciano Cosentino ,"<td class=""zentriert"">18/05/2001 (21)</td>",<tr><td>Extremo derecho</td></tr>,05,01
16,Sebastián Figueredo ,"<td class=""zentriert"">25/08/2001 (21)</td>",<tr><td>Lateral derecho</td></tr>,08,01
17,Facundo Porley ,"<td class=""zentriert"">25/07/2001 (21)</td>",<tr><td>Interior derecho</td></tr>,07,01
18,Enzo López ,"<td class=""zentriert"">11/03/2001 (21)</td>",<tr><td>Portero</td></tr>,03,01
19,Joaquín Avilés ,"<td class=""zentriert"">09/02/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,02,01
20,Lautaro de León ,"<td class=""zentriert"">09/02/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,02,01
21,Jairo O'Neil ,"<td class=""zentriert"">31/07/2001 (21)</td>",<tr><td>Lateral izquierdo</td></tr>,07,01
22,Fernando Prado ,"<td class=""zentriert"">21/03/2001 (21)</td>",<tr><td>Lateral izquierdo</td></tr>,03,01
23,Enzo Lemos ,"<td class=""zentriert"">21/01/2001 (21)</td>",<tr><td>Extremo izquierdo</td></tr>,01,01
24,Gerónimo Plada ,"<td class=""zentriert"">24/05/2001 (21)</td>",<tr><td>Mediocentro ofensivo</td></tr>,05,01
0,Isaac Méndez ,"<td class=""zentriert"">19/04/2001 (21)</td>",<tr><td>Pivote</td></tr>,04,01
1,Agustín Santurio ,"<td class=""zentriert"">02/05/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,05,01
2,Franco O'Niell ,"<td class=""zentriert"">20/06/2001 (21)</td>",<tr><td>Extremo izquierdo</td></tr>,06,01
3,Nicolás Rodríguez ,"<td class=""zentriert"">01/05/2001 (21)</td>",<tr><td>Defensa central</td></tr>,05,01
4,Rodrigo Ferreyra ,"<td class=""zentriert"">02/02/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,02,01
5,Leandro Aguilera ,"<td class=""zentriert"">21/07/2001 (21)</td>",<tr><td>Interior derecho</td></tr>,07,01
6,Fredy Martínez ,"<td class=""zentriert"">01/05/2001 (21)</td>",<tr><td>Lateral izquierdo</td></tr>,05,01
7,Álvaro Gracés ,"<td class=""zentriert"">10/02/2001 (21)</td>",<tr><td>Defensa central</td></tr>,02,01
8,Mateo Cantera ,"<td class=""zentriert"">20/03/2001 (21)</td>",<tr><td>Lateral derecho</td></tr>,03,01
9,Ismael García ,"<td class=""zentriert"">24/09/2001 (21)</td>",<tr><td>Defensa central</td></tr>,09,01
10,Franco Gaimarí ,"<td class=""zentriert"">22/07/2001 (21)</td>",<tr><td>Delantero</td></tr>,07,01
11,Agustín Pons ,"<td class=""zentriert"">10/05/2001 (21)</td>",<tr><td>Mediocentro</td></tr>,05,01
12,Juan Muguerza ,"<td class=""zentriert"">09/02/2001 (21)</td>",<tr><td>Interior derecho</td></tr>,02,01
13,Juan Millán ,"<td class=""zentriert"">13/08/2001 (21)</td>",<tr><td>Pivote</td></tr>,08,01
14,Stéfano Cetrulo ,"<td class=""zentriert"">03/11/2001 (20)</td>",<tr><td>Delantero centro</td></tr>,11,01
15,Franco Aranda ,"<td class=""zentriert"">02/05/2001 (21)</td>",<tr><td>Portero</td></tr>,05,01
16,Martín Jourdan ,"<td class=""zentriert"">13/10/2001 (21)</td>",<tr><td>Defensa central</td></tr>,10,01
17,Nicolás Rodríguez ,"<td class=""zentriert"">19/12/2001 (20)</td>",<tr><td>Lateral izquierdo</td></tr>,12,01
18,Marcos Paolini ,"<td class=""zentriert"">14/08/2001 (21)</td>",<tr><td>Defensa central</td></tr>,08,01
19,Hernán Espinosa ,"<td class=""zentriert"">02/09/2001 (21)</td>",<tr><td>Portero</td></tr>,09,01
20,Rafael Martínez ,"<td class=""zentriert"">24/11/2001 (20)</td>",<tr><td>Extremo izquierdo</td></tr>,11,01
21,Francisco Coirolo ,"<td class=""zentriert"">09/06/2001 (21)</td>",<tr><td>Portero</td></tr>,06,01
22,Fabricio Olivera ,"<td class=""zentriert"">20/05/2001 (21)</td>",<tr><td>Lateral derecho</td></tr>,05,01
23,Agustín Univaso ,"<td class=""zentriert"">11/04/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,04,01
24,Ramiro Méndez ,"<td class=""zentriert"">07/01/2001 (21)</td>",<tr><td>Portero</td></tr>,01,01
0,Rodrigo Marín ,"<td class=""zentriert"">20/02/2001 (21)</td>",<tr><td>Extremo izquierdo</td></tr>,02,01
1,Alfredo Viera ,"<td class=""zentriert"">26/01/2001 (21)</td>",<tr><td>Delantero</td></tr>,01,01
2,Lucas Fernández ,"<td class=""zentriert"">23/08/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,08,01
3,Facundo Bravo ,"<td class=""zentriert"">08/03/2001 (21)</td>",<tr><td>Extremo izquierdo</td></tr>,03,01
4,Alejo Pérez ,"<td class=""zentriert"">01/06/2001 (21)</td>",<tr><td>Extremo derecho</td></tr>,06,01
5,Vicente Mosquilo ,"<td class=""zentriert"">04/07/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,07,01
6,Fabio González ,"<td class=""zentriert"">23/12/2001 (20)</td>",<tr><td>Interior derecho</td></tr>,12,01
7,Santiago Correa ,"<td class=""zentriert"">11/06/2001 (21)</td>",<tr><td>Mediapunta</td></tr>,06,01
8,Lautaro Pertusatti ,"<td class=""zentriert"">21/07/2001 (21)</td>",<tr><td>Lateral derecho</td></tr>,07,01
9,Lucas González ,"<td class=""zentriert"">18/11/2001 (20)</td>",<tr><td>Medio campo</td></tr>,11,01
10,Guillermo Duhalde ,"<td class=""zentriert"">11/11/2001 (20)</td>",<tr><td>Delantero centro</td></tr>,11,01
11,Juan Pablo Hernández ,"<td class=""zentriert"">21/06/2001 (21)</td>",<tr><td>Interior izquierdo</td></tr>,06,01
12,Agustín Moreira ,"<td class=""zentriert"">28/05/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,05,01
13,Gastón Álvarez ,"<td class=""zentriert"">14/09/2001 (21)</td>",<tr><td>Mediapunta</td></tr>,09,01
14,Gianluca Colla ,"<td class=""zentriert"">10/01/2001 (21)</td>",<tr><td>Mediapunta</td></tr>,01,01
15,Tabaré Marichal ,"<td class=""zentriert"">01/12/2001 (20)</td>",<tr><td>Portero</td></tr>,12,01
16,Brian Mancini ,"<td class=""zentriert"">06/07/2001 (21)</td>",<tr><td>Portero</td></tr>,07,01
17,Braian Vargas ,"<td class=""zentriert"">20/04/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,04,01
18,Franco Macchi ,"<td class=""zentriert"">20/06/2001 (21)</td>",<tr><td>Pivote</td></tr>,06,01
19,Fabricio Olivera ,"<td class=""zentriert"">28/09/2001 (21)</td>",<tr><td>Portero</td></tr>,09,01
20,Roberto Techera ,"<td class=""zentriert"">17/01/2001 (21)</td>",<tr><td>Pivote</td></tr>,01,01
21,Rodrigo Corbo ,"<td class=""zentriert"">14/11/2001 (20)</td>",<tr><td>Interior derecho</td></tr>,11,01
22,Darío Giovanoni ,"<td class=""zentriert"">06/01/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,01,01
23,Brian Smith ,"<td class=""zentriert"">28/04/2001 (21)</td>",<tr><td>Lateral derecho</td></tr>,04,01
24,Fabio Sastre ,"<td class=""zentriert"">02/01/2001 (21)</td>",<tr><td>Mediocentro</td></tr>,01,01
0,Enzo Varela ,"<td class=""zentriert"">21/12/2001 (20)</td>",<tr><td>Mediocentro</td></tr>,12,01
1,Fernando Avelino ,"<td class=""zentriert"">21/03/2001 (21)</td>",<tr><td>Lateral izquierdo</td></tr>,03,01
2,Santiago López ,"<td class=""zentriert"">03/07/2001 (21)</td>",<tr><td>Portero</td></tr>,07,01
3,Matías Fernández ,"<td class=""zentriert"">09/06/2001 (21)</td>",<tr><td>Medio campo</td></tr>,06,01
4,Lucas Villalba ,"<td class=""zentriert"">11/05/2001 (21)</td>",<tr><td>Medio campo</td></tr>,05,01
5,José Martínez ,"<td class=""zentriert"">03/03/2001 (21)</td>",<tr><td>Delantero</td></tr>,03,01
6,Luciano Píriz ,"<td class=""zentriert"">08/10/2001 (21)</td>",<tr><td>Lateral derecho</td></tr>,10,01
7,Thiago Prosper ,"<td class=""zentriert"">30/05/2001 (21)</td>",<tr><td>Lateral izquierdo</td></tr>,05,01
8,Yosemil López ,"<td class=""zentriert"">28/02/2001 (21)</td>",<tr><td>Delantero</td></tr>,02,01
9,Agustín Tejera ,"<td class=""zentriert"">15/07/2001 (21)</td>",<tr><td>Extremo derecho</td></tr>,07,01
10,Douglas Perez ,"<td class=""zentriert"">24/08/2001 (21)</td>",<tr><td>Mediapunta</td></tr>,08,01
11,Zinedine Fischer ,"<td class=""zentriert"">23/02/2001 (21)</td>",<tr><td>Portero</td></tr>,02,01
12,Santiago Riveron ,"<td class=""zentriert"">11/03/2001 (21)</td>",<tr><td>Delantero centro</td></tr>,03,01
13,Nicolás Becerra ,"<td class=""zentriert"">07/05/2001 (21)</td>",<tr><td>Defensa</td></tr>,05,01
14,Luciano Baeza ,"<td class=""zentriert"">22/04/2001 (21)</td>",<tr><td>Defensa</td></tr>,04,01
15,Tiago Silva Sanchez ,"<td class=""zentriert"">01/10/2001 (21)</td>",<tr><td>Medio campo</td></tr>,10,01
16,Ángelo Carneiro ,"<td class=""zentriert"">17/07/2001 (21)</td>",<tr><td>Medio campo</td></tr>,07,01
17,Axel Amoros ,"<td class=""zentriert"">12/05/2001 (21)</td>",<tr><td>Portero</td></tr>,05,01
18,Marcos Lemos ,"<td class=""zentriert"">15/01/2001 (21)</td>",<tr><td>Delantero</td></tr>,01,01
19,Gastón Mautone ,"<td class=""zentriert"">16/08/2001 (21)</td>",<tr><td>Medio campo</td></tr>,08,01
20,Rodrigo Moreira ,"<td class=""zentriert"">23/02/2001 (21)</td>",<tr><td>Delantero</td></tr>,02,01
21,Jimmy Pereira ,"<td class=""zentriert"">26/11/2001 (20)</td>",<tr><td>Pivote</td></tr>,11,01
22,Nahuel González ,"<td class=""zentriert"">18/05/2001 (21)</td>",<tr><td>Portero</td></tr>,05,01
23,Sebastián Espalter ,"<td class=""zentriert"">25/10/2001 (20)</td>",<tr><td>Pivote</td></tr>,10,01
24,Kevin Álvez ,"<td class=""zentriert"">23/07/2001 (21)</td>",<tr><td>Portero</td></tr>,07,01
0,Federico Pintado ,"<td class=""zentriert"">18/05/2001 (21)</td>",<tr><td>Portero</td></tr>,05,01
0,Matías Arezo ,"<td class=""zentriert"">21/11/2002 (19)</td>",<tr><td>Delantero centro</td></tr>,11,02
1,Thiago Borbas ,"<td class=""zentriert"">07/04/2002 (20)</td>",<tr><td>Delantero centro</td></tr>,04,02
2,Joaquín Sosa ,"<td class=""zentriert"">10/01/2002 (20)</td>",<tr><td>Defensa central</td></tr>,01,02
3,Vicente Poggi ,"<td class=""zentriert"">11/07/2002 (20)</td>",<tr><td>Pivote</td></tr>,07,02
4,Pedro Milans ,"<td class=""zentriert"">24/03/2002 (20)</td>",<tr><td>Lateral derecho</td></tr>,03,02
5,Alexander Machado ,"<td class=""zentriert"">28/05/2002 (20)</td>",<tr><td>Delantero centro</td></tr>,05,02
6,Matías Ocampo ,"<td class=""zentriert"">14/03/2002 (20)</td>",<tr><td>Interior derecho</td></tr>,03,02
7,Adrian Vila ,"<td class=""zentriert"">01/01/2002 (20)</td>",<tr><td>Mediocentro</td></tr>,01,02
8,Guillermo Wagner ,"<td class=""zentriert"">09/01/2002 (20)</td>",<tr><td>Mediocentro</td></tr>,01,02
9,Nicolás Ferreira ,"<td class=""zentriert"">07/02/2002 (20)</td>",<tr><td>Extremo izquierdo</td></tr>,02,02
10,Francisco Barrios ,"<td class=""zentriert"">19/02/2002 (20)</td>",<tr><td>Mediocentro</td></tr>,02,02
11,Máximo Alonso ,"<td class=""zentriert"">05/07/2002 (20)</td>",<tr><td>Extremo izquierdo</td></tr>,07,02
12,Axel Prado ,"<td class=""zentriert"">17/11/2002 (19)</td>",<tr><td>Defensa central</td></tr>,11,02
13,Santiago Cartagena ,"<td class=""zentriert"">01/09/2002 (20)</td>",<tr><td>Pivote</td></tr>,09,02
14,Cristian Olivera ,"<td class=""zentriert"">17/04/2002 (20)</td>",<tr><td>Extremo derecho</td></tr>,04,02
15,Juan Gutiérrez ,"<td class=""zentriert"">04/02/2002 (20)</td>",<tr><td>Delantero centro</td></tr>,02,02
16,Emiliano Vidart ,"<td class=""zentriert"">05/04/2002 (20)</td>",<tr><td>Mediocentro</td></tr>,04,02
17,Maximiliano Juambeltz ,"<td class=""zentriert"">09/06/2002 (20)</td>",<tr><td>Delantero centro</td></tr>,06,02
18,Óscar Cruz ,"<td class=""zentriert"">04/04/2002 (20)</td>",<tr><td>Delantero centro</td></tr>,04,02
19,Alan Acevedo ,"<td class=""zentriert"">28/01/2002 (20)</td>",<tr><td>Lateral derecho</td></tr>,01,02
20,Anthony Hernández ,"<td class=""zentriert"">20/07/2002 (20)</td>",<tr><td>Portero</td></tr>,07,02
21,Dylan Nandín ,"<td class=""zentriert"">28/02/2002 (20)</td>",<tr><td>Delantero centro</td></tr>,02,02
22,Brian Mansilla ,"<td class=""zentriert"">14/05/2002 (20)</td>",<tr><td>Extremo izquierdo</td></tr>,05,02
23,Diego Méndez ,"<td class=""zentriert"">27/07/2002 (20)</td>",<tr><td>Extremo derecho</td></tr>,07,02
24,Alexander González ,"<td class=""zentriert"">08/08/2002 (20)</td>",<tr><td>Delantero centro</td></tr>,08,02
0,Facundo Trinidad ,"<td class=""zentriert"">14/04/2002 (20)</td>",<tr><td>Extremo izquierdo</td></tr>,04,02
1,Álex Vázquez ,"<td class=""zentriert"">09/03/2002 (20)</td>",<tr><td>Mediocentro ofensivo</td></tr>,03,02
2,Ignacio Velázquez ,"<td class=""zentriert"">31/10/2002 (19)</td>",<tr><td>Lateral izquierdo</td></tr>,10,02
